"mean","year","ingo_uia","xrcomp","xropen","xconst","parcomp","injud","pop","gdppc","rentspc","military","execrlc","trade_gdp","fdi_net_in","public_trial","fair_trial","final_decision","legislative_ck","structad","imfstruct","common","cat_ratify","cpr_ratify","ythblgap","terrrev","cim","CIE","lagus","lagun","hrordinal","nonhrordinal","cwar","iwar","sd","ccode"
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,1,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,0,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,1,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,0,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,1,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,0,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,1,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,0,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,3,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,1,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,3,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,1,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,3,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,1,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,3,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,1,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,3,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,0,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,3,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,0,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,3,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,0,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.634422730258741,1984,642,1,4,3,2,0,40406,3868,0,1,3,67.0123062133789,0.118226394057274,1,0,0,1,1,0,0,0,0,30.8999996185303,0,87.4475061893463,3.55362391471863,0,0,0,0,0,0,0.204604336827368,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,1,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,1,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,1,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,1,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,1,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,1,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,1,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,1,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,1,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,0,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,1,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,0,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,1,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,0,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
-0.681349229365425,1985,642,1,4,3,2,1,40806,4217,0,1,1,63.3528480529785,0.241669058799744,1,0,0,1,1,1,0,0,0,30.1000003814697,0,88.5074377059937,3.5851514339447,0,0,0,0,0,0,0.199284397060403,732
